          21
          37
  0.1000000      0.1000000      0.1000000      0.1000000    
   1.500000       1.500000       1.500000    
  2.0000001E-03  2.0000000E-02  3.9999999E-02
   250.0000    
  0.7451324    
  0.0000000E+00   4.143710       8.288718       12.43525       16.58066       20.71774       24.83319       28.90639       32.90835       36.80099       40.53675       44.05910       47.30349       50.19931       52.67295       54.65184       56.07053       56.88201       57.06084       56.60369       55.52866       53.87288       51.68921       49.04213       46.00331       42.64704       39.04630       35.26923       31.37645       27.41905       23.43752       19.46136       15.50934       11.59031       7.704463       3.844986      0.0000000E+00
  0.0000000E+00   4.737963       9.475316       14.21027       18.93789       23.64832       28.32497       32.94309       37.46854       41.85668       46.05204       49.98820       53.58897       56.77010       59.44264       61.51772       62.91683       63.59650       63.53986       62.75652       61.28050       59.16691       56.48726       53.32433       49.76663       45.90325       41.81939       37.59254       33.28972       28.96557       24.66149       20.40538       16.21237       12.08590       8.019277       3.997603      0.0000000E+00
  0.0000000E+00   5.366868       10.72825       16.07747       21.40470       26.69505       31.92669       37.06927       42.08246       46.91489       51.50339       55.77299       59.63749       63.00121       65.76174       67.81478       69.07406       69.50854       69.11716       67.92760       65.99316       63.38838       60.20339       56.53781       52.49471       48.17509       43.67317       39.07263       34.44393       29.84276       25.30927       20.86831       16.53031       12.29268       8.141550       4.053918      0.0000000E+00
  0.0000000E+00   5.983431       11.95320       17.89482       23.79089       29.61904       35.35020       40.94693       46.36204       51.53751       56.40374       60.87938       64.87175       68.27795       70.98692       72.88241       73.88393       73.97914       73.18673       71.55425       69.15440       66.07950       62.43544       58.33511       53.89213       49.21532       44.40408       39.54474       34.70831       29.94900       25.30396       20.79373       16.42336       12.18408       8.055223       4.006435      0.0000000E+00
  0.0000000E+00   6.506069       12.98767       19.42028       25.77691       32.02616       38.13054       44.04497       49.71562       55.07895       60.06112       64.57784       68.53449       71.82658       74.34021       75.95210       76.60605       76.30972       75.10144       73.04730       70.23631       66.77470       62.77929       58.37109       53.66910       48.78500       43.81887       38.85595       33.96460       29.19525       24.58047       20.13564       15.86032       11.74012       7.748694       3.849890      0.0000000E+00
  0.0000000E+00   6.820900       13.60562       20.31901       26.92417       33.38060       39.64281       45.65902       51.37035       56.71015       61.60363       65.96771       69.71078       72.73254       74.92262       76.16162       76.43226       75.75747       74.19077       71.81146       68.71909       65.02731       60.85743       56.33211       51.56972       46.67941       41.75732       36.88378       32.12170       27.51585       23.09315       18.86364       14.82201       10.94950       7.215935       3.581750      0.0000000E+00
  0.0000000E+00   6.796844       13.54763       20.20844       26.73449       33.07843       39.18921       45.01121       50.48370       55.54062       60.11034       64.11544       67.47189       70.08801       71.85825       72.70523       72.63100       71.66917       69.88133       67.35216       64.18353       60.48842       56.38488       51.99017       47.41567       42.76263       38.11888       33.55655       29.13077       24.87943       20.82350       16.96821       13.30466       9.811651       6.457677       3.202733      0.0000000E+00
  0.0000000E+00   6.316099       12.58125       18.74748       24.76672       30.58943       36.16368       41.43457       46.34415       50.83166       54.83326       58.28133       61.10234       63.21721       64.54126       65.04510       64.73471       63.64606       61.84013       59.39767       56.41367       52.99171       49.23839       45.25840       41.15002       37.00160       32.88884       28.87295       24.99974       21.29953       17.78770       14.46587       11.32334       8.338935       5.482667       2.717369      0.0000000E+00
  0.0000000E+00   5.315412       10.58255       15.75629       20.79193       25.64417       30.26632       34.60977       38.62475       42.26088       45.46655       48.18757       50.35999       51.93011       52.85464       53.11493       52.71887       51.69843       50.10587       48.00932       45.48807       42.62781       39.51616       36.23851       32.87449       29.49508       26.16056       22.91906       19.80597       16.84396       14.04358       11.40426       8.915674       6.559167       4.309234       2.134755      0.0000000E+00
  0.0000000E+00   3.824667       7.611990       11.32715       14.93591       18.40388       21.69597       24.77485       27.60377       30.14767       32.37094       34.23706       35.70720       36.74766       37.33320       37.45346       37.11524       36.34179       35.17054       33.65012       31.83699       29.79205       27.57741       25.25343       22.87619       20.49546       18.15323       15.88275       13.70815       11.64451       9.698351       7.868392       6.146580       4.519142       2.967609       1.469702      0.0000000E+00
  0.0000000E+00   1.983966       3.947818       5.872712       7.740204       9.531871       11.22904       12.81231       14.26264       15.56176       16.69156       17.63379       18.36995       18.88396       19.16427       19.20651       19.01473       18.60124       17.98557       17.19291       16.25248       15.19568       14.05445       12.85975       11.64026       10.42130       9.224135       8.065514       6.957447       5.907309       4.918101       3.988877       3.115271       2.290057       1.503668      0.7446526      0.0000000E+00
  0.0000000E+00  -20.76121      -41.36594      -61.65812      -81.47990      -100.6700      -119.0625      -136.4858      -152.7635      -167.7162      -181.1621      -192.9207      -202.8169      -210.6932      -216.4220      -219.9215      -221.1660      -220.1867      -217.0697      -211.9489      -204.9980      -196.4200      -186.4370      -175.2796      -163.1773      -150.3495      -136.9977      -123.3010      -109.4107      -95.44859      -81.50648      -67.64635      -53.90273      -40.28547      -26.78332      -13.36821      0.0000000E+00
